DATE,DESCIPTION,DEBIT,CREDIT,BALANCE,,
1/27/2025,"SHAW CABLESYSTEMS CALGARY, AB",135.6,,2286.79,,
1/24/2025,PURCHASE INTEREST,12.7,,2151.19,,
1/22/2025,"APPLE.COM/BILL TORONTO, ON",41.43,,2138.49,,
1/21/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,104.1,2097.06,,
1/20/2025,"Subway 14690 Langford, BC",16.76,,2201.16,,
1/20/2025,"EQUIFAX CANADA CO. 855-233-9226, ON",26.2,,2184.4,,
1/20/2025,"APPLE.COM/BILL 866-712-7753, ON",82.29,,2158.2,,
1/20/2025,"AMAZON* Z548R3W20 VANCOUVER, BC",55,,2075.91,,
1/20/2025,"AMZN Apps CA www.amazon.ca, ON",14.55,,2020.91,,
1/20/2025,"SHOPPERS DRUG MART #02 VICTORIA, BC",57.63,,2006.36,,
1/20/2025,"BOLEN BOOKS VICTORIA, BC",,19.99,1948.73,,
1/20/2025,"BOLEN BOOKS VICTORIA, BC",29.99,,1968.72,,
1/20/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,950,1938.73,,
1/16/2025,"AMAZON* ZD6QR7UR1 VANCOUVER, BC",99.99,,2888.73,,
1/16/2025,"AMAZON* ZD1Y54IM1 VANCOUVER, BC",74.99,,2788.74,,
1/15/2025,"APPLE.COM/BILL 866-712-7753, ON",41.43,,2713.75,,
1/15/2025,"APPLE.COM/BILL 866-712-7753, ON",4.47,,2672.32,,
1/15/2025,"APPLE.COM/BILL 866-712-7753, ON",61.59,,2667.85,,
1/15/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2606.26,,
1/15/2025,"AMAZON* ZD0281S51 VANCOUVER, BC",82.99,,2545.79,,
1/15/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,128.1,2462.8,,
1/15/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,134,2590.9,,
1/14/2025,"Microsoft*Microsoft 365 P Mississauga, ON",8.96,,2724.9,,
1/14/2025,"GOOGLE *Trend Micro g.co/helppay#, NS",5.59,,2715.94,,
1/13/2025,"BEST BUY #10 VICTORIA, BC",87.33,,2710.35,,
1/13/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2623.02,,
1/13/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,74.03,2562.55,,
1/13/2025,CASHBACK/REMISE EN ARGENT,,37.69,2636.58,,
1/10/2025,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2674.27,,
1/10/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",65.64,,2613.8,,
1/10/2025,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",171.62,,2548.16,,
1/9/2025,"APPLE.COM/BILL 866-712-7753, ON",101.9,,2376.54,,
1/9/2025,"APPLE.COM/BILL 866-712-7753, ON",76.14,,2274.64,,
1/8/2025,"GFL - DUNFORD HIT (WK) LANGFORD, BC",10.75,,2198.5,,
1/7/2025,"AMAZON* ZD08J4932 VANCOUVER, BC",30,,2187.75,,
1/7/2025,"SAVE ON FOODS 2227 VICTORIA, BC",97.4,,2157.75,,
1/6/2025,"AMAZON* ZP2LY8W60 VANCOUVER, BC",28.99,,2060.35,,
1/6/2025,"BOLEN BOOKS VICTORIA, BC",197.4,,2031.36,,
1/6/2025,"SHELL C47030 VICTORIA, BC",141.73,,1833.96,,
1/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,13.45,1692.23,,
1/6/2025,PAYMENT THANK YOU/PAIEMEN T MERCI,,750,1705.68,,
1/3/2025,Amazon.fr Pa*AZ4Z89I55 www.http:/Ama,284.94,,2455.68,,
1/3/2025,"MILESTONES LANGFORD, BC",127.2,,2170.74,,
1/3/2025,"AMAZON* ZD5351L02 VANCOUVER, BC",21.9,,2043.54,,
12/31/2024,"Amazon Channels amazon.ca, BC",24.63,,2021.64,,
12/31/2024,"AMAZON MKTPL*ZP30208H2 Amzn.com/bill, ON",236.09,,1997.01,,
12/31/2024,"MCDONALD'S #40537 VICTORIA, BC",19.59,,1760.92,,
12/31/2024,"REAL CDN. SUPERSTORE # VICTORIA, BC",205.18,,1741.33,,
12/30/2024,"AMZN Mktp CA*Z93IM5RY1 WWW.AMAZON.CA, ON",23,,1536.15,,
12/30/2024,"SHELL C47030 VICTORIA, BC",84.94,,1513.15,,
12/30/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,330.8,1428.21,,
12/27/2024,CASHBACK/REMISE EN ARGENT,,48.79,1759.01,,
12/24/2024,"AMAZON MKTPL*Z90GC4BN1 Amzn.com/bill, ON",25.32,,1807.8,,
12/24/2024,"AMZN Mktp CA*Z96WE1531 WWW.AMAZON.CA, ON",21.99,,1782.48,,
12/23/2024,"PrimeVideo.c*Z917Y4PC1 www.amazon.ca, BC",5.59,,1760.49,,
12/23/2024,"SABHAI THAI RESTAURANT VICTORIA, BC",85.2,,1754.9,,
12/23/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,132.08,1669.7,,
12/20/2024,"AMAZON MKTPL*Z98S51HJ2 Amzn.com/bill, ON",63.65,,1801.78,,
12/20/2024,"PIZZA AL FORNO VICTORIA, BC",9,,1738.13,,
12/20/2024,"BIRYANI PALACE VICTORIA, BC",76.97,,1729.13,,
12/19/2024,"Amazon Channels amazon.ca, BC",6.71,,1652.16,,
12/19/2024,"SHOPPERS DRUG MART #02 VICTORIA, BC",60,,1645.45,,
12/19/2024,"SHOPPERS DRUG MART #02 VICTORIA, BC",81.64,,1585.45,,
12/19/2024,"R PARKING VIC VICTORIA, BC",12,,1503.81,,
12/19/2024,"DOLLARAMA #0953 VICTORIA, BC",15.13,,1491.81,,
12/18/2024,"AMZN Apps CA www.amazon.ca, ON",14.55,,1476.68,,
12/18/2024,"SHELL C47030 VICTORIA, BC",152.41,,1462.13,,
12/17/2024,"SAVE ON FOODS 2227 VICTORIA, BC",277.51,,1309.72,,
12/16/2024,"Amazon.ca*ZX2ND82F1 AMAZON.CA, ON",56.05,,1032.21,,
12/16/2024,"SHELL C47030 VICTORIA, BC",84.94,,976.16,,
12/13/2024,"MONTANAS 3062 VICTORIA, BC",17.27,,891.22,,
12/13/2024,"MICHAELS #4938 VICTORIA, BC",38.04,,873.95,,
12/12/2024,"SOL FINE FOODS VICTORIA, BC",78,,835.91,,
12/12/2024,"SOL FINE FOODS VICTORIA, BC",48,,757.91,,
12/12/2024,"SOL FINE FOODS VICTORIA, BC",3.28,,709.91,,
12/12/2024,"INDIGO 963 VICTORIA, BC",18.02,,706.63,,
12/12/2024,"R PARKING VIC VICTORIA, BC",12,,688.61,,
12/11/2024,"FORBES PHARMACY MILLSTREA VICTORIA, BC",22.12,,676.61,,
12/11/2024,"REAL CDN. SUPERSTORE # VICTORIA, BC",36.04,,654.49,,
12/11/2024,"SHOPPERS DRUG MART #27 VICTORIA, BC",89.75,,618.45,,
12/11/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",133.59,,528.7,,
12/11/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",7.66,,395.11,,
12/10/2024,"SHELL C47030 VICTORIA, BC",84.94,,387.45,,
12/9/2024,"BURGER KING #13574 VICTORIA, BC",31.06,,302.51,,
12/9/2024,"BIRYANI PALACE VICTORIA, BC",82.91,,271.45,,
12/9/2024,"Amazon.ca*ZR2JN3VX2 AMAZON.CA, ON",122.47,,188.54,,
12/9/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,256,66.07,,
12/6/2024,GROCERY CAMPAIGN OFFER,,9.92,322.07,,
12/6/2024,"SHELL C47030 VICTORIA, BC",99.94,,331.99,,
12/5/2024,"Subway 14690 Langford, BC",15.6,,232.05,,
12/5/2024,"R PARKING VIC VICTORIA, BC",12,,216.45,,
12/3/2024,"AMAZON MKTPL*ZL08J80Q2 Amzn.com/bill, ON",88.72,,204.45,,
12/2/2024,"BURGER KING #13574 VICTORIA, BC",22.67,,115.73,,
12/2/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",75.02,,93.06,,
12/2/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,53.17,18.04,,
11/26/2024,CASHBACK/REMISE EN ARGENT,,12.58,71.21,,
11/25/2024,TRSF CR BAL TO DEP ACCT,301.84,,83.79,,
11/25/2024,PURCHASE INTEREST,65.75,,-218.05,,
11/25/2024,CASH INTEREST,17.22,,-283.8,,
11/25/2024,PAYMENT PROTECTOR PREMIUM 800-893-2862,0.82,,-301.02,,
11/14/2024,"SOL FINE FOODS VICTORIA, BC",3.28,,-301.84,,
11/14/2024,"R PARKING VIC VICTORIA, BC",7.5,,-305.12,,
11/14/2024,TD BANK LA BANQUE TD 9915 TORONTO,,10273.09,-312.62,,
11/12/2024,"APPLE.COM/BILL TORONTO, ON",60.47,,9960.47,,
11/12/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,72.24,9900,,
11/7/2024,"R PARKING VIC VICTORIA, BC",12,,9972.24,,
11/7/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,35,9960.24,,
11/6/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,9995.24,,
11/5/2024,"APPLE.COM/BILL 866-712-7753, ON",15.67,,9953.81,,
11/4/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,32.39,9938.14,,
10/31/2024,"APPLE.COM/BILL 866-712-7753, ON",14.55,,9970.53,,
10/31/2024,"APPLE.COM/BILL 866-712-7753, ON",12.31,,9955.98,,
10/31/2024,"TICKETS*RUSSELL PETERS 8442235661, DE 277.61 USD @ 1.428118",396.46,,9943.67,,
10/31/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,9547.21,,
10/31/2024,"R PARKING VIC VICTORIA, BC",7.5,,9543.62,,
10/31/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,300,9536.12,,
10/29/2024,"APPLE.COM/BILL 866-712-7753, ON",66.62,,9836.12,,
10/29/2024,"APPLE.COM/BILL 866-712-7753, ON",47.58,,9769.5,,
10/29/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,27,9721.92,,
10/29/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,250,9748.92,,
10/29/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,300,9998.92,,
10/28/2024,"APPLE.COM/BILL 866-712-7753, ON",76.14,,10298.92,,
10/28/2024,"APPLE.COM/BILL 866-712-7753, ON",11.19,,10222.78,,
10/28/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,61.47,10211.59,,
10/28/2024,INTEREST REVERSAL,,0.03,10273.06,,
10/25/2024,PAYMENT PROTECTOR PREMIUM 800-893-2862,100.71,,10273.09,,
10/25/2024,PURCHASE INTEREST,200.78,,10172.38,,
10/25/2024,CASH INTEREST,31.32,,9971.6,,
10/25/2024,"SHELL C47030 VICTORIA, BC",25,,9940.28,,
10/24/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,9915.28,,
10/23/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,75,9873.85,,
10/22/2024,"APPLE.COM/BILL 866-712-7753, ON",60.47,,9948.85,,
10/22/2024,AMAZON EU SARL 2090401 PAYLI2090401/ -1.35 EUR @ 1.451851,,1.96,9888.38,,
10/17/2024,CASHBACK/REMISE EN ARGENT,,26.26,9890.34,,
10/17/2024,"SOL FINE FOODS VICTORIA, BC",4.1,,9916.6,,
10/17/2024,"R PARKING VIC VICTORIA, BC",7.5,,9912.5,,
10/16/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,61.71,9905,,
10/15/2024,CASH ADV/BT/CONV CHQ FEE,5,,9966.71,,
10/15/2024,"CITY OF VICTORIA PARKI VICTORIA, BC",1,,9961.71,,
10/15/2024,"UVIC PARKING VICTORIA, BC",5,,9960.71,,
10/15/2024,"CODECADEMY 184-49302633, NY 251.87 USD @ 1.412276",355.71,,9955.71,,
10/15/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,520.34,9600,,
10/15/2024,CASH ADVANCE/AVANCE DE FO NDS,150,,10120.34,,
10/11/2024,"APPLE.COM/BILL TORONTO, ON",60.47,,9970.34,,
10/10/2024,"SOL FINE FOODS VICTORIA, BC",3.28,,9909.87,,
10/10/2024,"R PARKING VIC VICTORIA, BC",7.5,,9906.59,,
10/9/2024,"APPLE.COM/BILL 866-712-7753, ON",,13.44,9899.09,,
10/9/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",96.53,,9912.53,,
10/8/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,120,9816,,
10/8/2024,"Audible CA*D86O52M73 Amzn.com/bill, NJ",8.39,,9936,,
10/8/2024,"REAL CDN. SUPERSTORE # VICTORIA, BC",13.98,,9927.61,,
10/8/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,46.58,9913.63,,
10/7/2024,"GFL - DUNFORD HIT (WK) LANGFORD, BC",17.4,,9960.21,,
10/7/2024,"R PARKING VIC VICTORIA, BC",2.5,,9942.81,,
10/4/2024,"APPLE.COM/BILL 866-712-7753, ON",31.35,,9940.31,,
10/3/2024,AMAZON EU SARL 2090401 PAYLI2090401/ -.81 EUR @ 1.456790,,1.18,9908.96,,
10/3/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,9910.14,,
10/3/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,9906.55,,
10/3/2024,"R PARKING VIC VICTORIA, BC",7.5,,9902.96,,
10/3/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",61.44,,9895.46,,
10/2/2024,CASH ADV/BT/CONV CHQ FEE,5,,9834.02,,
10/2/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,100,9829.02,,
10/2/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,300,9929.02,,
10/2/2024,"ATM CASH ADVANCE-RB/AVANC E FONDS-GAB R, B",303.5,,10229.02,,
10/2/2024,"Masjid Al-Iman VICTORIA, BC",20,,9925.52,,
10/2/2024,"Masjid Al-Iman VICTORIA, BC",20,,9905.52,,
10/1/2024,"APPLE.COM/BILL 866-712-7753, ON",12.31,,9885.52,,
10/1/2024,"FORBES PHARMACY MILLSTREA VICTORIA, BC",37,,9873.21,,
10/1/2024,"APPLE.COM/BILL 866-712-7753, ON",14.55,,9836.21,,
10/1/2024,"SQ *BCMA VICTORIA Victoria, BC",54,,9821.66,,
10/1/2024,"STARBUCKS 04546 VICTORIA, BC",4.78,,9767.66,,
10/1/2024,"BIRYANI PALACE VICTORIA, BC",37.75,,9762.88,,
9/27/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,9725.13,,
9/27/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,9721.54,,
9/27/2024,"R PARKING VIC VICTORIA, BC",7.5,,9717.95,,
9/26/2024,INTEREST REVERSAL,,0.09,9710.45,,
9/26/2024,"R PARKING VIC VICTORIA, BC",7.5,,9710.54,,
9/26/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,144.03,9703.04,,
9/26/2024,"SOL FINE FOODS VICTORIA, BC",4.1,,9847.07,,
9/26/2024,"SHAW CABLESYSTEMS CALGARY, AB",134.93,,9842.97,,
9/25/2024,PURCHASE INTEREST,56.35,,9708.04,,
9/25/2024,CASH INTEREST,26.94,,9651.69,,
9/25/2024,PAYMENT PROTECTOR PREMIUM 800-893-2862,95.17,,9624.75,,
9/25/2024,"MCDONALD'S #40537 VICTORIA, BC",5.1,,9529.58,,
9/24/2024,CASH ADV/BT/CONV CHQ FEE,5,,9524.48,,
9/24/2024,CASHBACK/REMISE EN ARGENT,,35.87,9519.48,,
9/24/2024,Amazon.fr Pa*TH1EW81C4 www.http:/Ama,43.7,,9555.35,,
9/24/2024,"SHELL C47030 VICTORIA, BC",147.41,,9511.65,,
9/24/2024,"RONA+ LANGFORD 83702 VICTORIA, BC",,28,9364.24,,
9/24/2024,"RONA+ LANGFORD 83702 VICTORIA, BC",44.79,,9392.24,,
9/24/2024,CASH ADVANCE/AVANCE DE FO NDS,145,,9347.45,,
9/24/2024,"CASCADIA LIQUOR EAGLE VICTORIA, BC",77.28,,9202.45,,
9/24/2024,"QUALITY FOODS 4707 VICTORIA, BC",7.96,,9125.17,,
9/24/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",32.37,,9117.21,,
9/23/2024,CASH ADV/BT/CONV CHQ FEE,5,,9084.84,,
9/23/2024,"RONA+ LANGFORD 83702 VICTORIA, BC",133.56,,9079.84,,
9/23/2024,"MCDONALD'S #40537 VICTORIA, BC",21.61,,8946.28,,
9/23/2024,CASH ADVANCE/AVANCE DE FO NDS,200,,8924.67,,
9/23/2024,AMAZON EU SARL 2090401 PAYLI2090401/ 158.89 EUR @ 1.550695,246.39,,8724.67,,
9/20/2024,"SAVE ON FOODS 2227 VICTORIA, BC",88.65,,8478.28,,
9/19/2024,"R PARKING VIC VICTORIA, BC",7.5,,8389.63,,
9/19/2024,"APPLE.COM/BILL TORONTO, ON",95.19,,8382.13,,
9/19/2024,"SOL FINE FOODS VICTORIA, BC",3.59,,8286.94,,
9/19/2024,"Amazon.ca*OX95M4FP3 AMAZON.CA, ON",130.48,,8283.35,,
9/19/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",138.77,,8152.87,,
9/19/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",115.41,,8014.1,,
9/19/2024,"7-ELEVEN STORE #37905 VICTORIA, BC",131.8,,7898.69,,
9/18/2024,"AMZN Apps CA www.amazon.ca, ON",13.43,,7766.89,,
9/18/2024,AMZN Marketp*T642K4MA4 www.amazon.co,54.39,,7753.46,,
9/17/2024,"AMAZON MKTPL*C60G10XY3 Amzn.com/bill, ON",55.64,,7699.07,,
9/17/2024,"STARBUCKS 04546 VICTORIA, BC",4.67,,7643.43,,
9/16/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,7638.76,,
9/16/2024,"UNDERGRADUATE ADMISSIO 604-827-3615, BC",75.5,,7597.33,,
9/16/2024,"AMZN Mktp US Amzn.com/bill, ON",,23.94,7521.83,,
9/16/2024,"APPLY BC BURNABY, BC",84.25,,7545.77,,
9/16/2024,"APPLE.COM/BILL 866-712-7753, ON",4.47,,7461.52,,
9/16/2024,"TENNYSON AUTO REPAIRS / VICTORIA, BC",529.76,,7457.05,,
9/16/2024,"FAIRWAY MARKET VICTORIA, BC",58.97,,6927.29,,
9/16/2024,"BIRYANI PALACE VICTORIA, BC",118.32,,6868.32,,
9/16/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,9.3,6750,,
9/16/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,240.7,6759.3,,
9/13/2024,"Subway 14690 Langford, BC",17.36,,7000,,
9/13/2024,"SHELL C47030 VICTORIA, BC",127.41,,6982.64,,
9/13/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,1104.35,6855.23,,
9/13/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,15,7959.58,,
9/11/2024,CASHBACK/REMISE EN ARGENT,,57.62,7974.58,,
9/11/2024,"AMAZON MKTPL*PG6ZZ09L3 Amzn.com/bill, ON",79.12,,8032.2,,
9/11/2024,"AMZN Mktp US*JC5KZ1RX3 Amzn.com/bill, ON",23.94,,7953.08,,
9/11/2024,"AMAZON MKTPL*MN94U98Q3 Amzn.com/bill, ON",21.1,,7929.14,,
9/11/2024,"AMAZON MKTPL*Z83FM4TM0 Amzn.com/bill, ON",23.93,,7908.04,,
9/11/2024,"CITY OF VICTORIA PARKI VICTORIA, BC",6,,7884.11,,
9/10/2024,"AMAZON MKTPL*Z87JT9NN0 Amzn.com/bill, ON",33.74,,7878.11,,
9/10/2024,"AMAZON MKTPL*ZT0A45W11 Amzn.com/bill, ON",15.07,,7844.37,,
9/10/2024,CASH ADV/BT/CONV CHQ FEE,5,,7829.3,,
9/10/2024,"CONCORDIA UNIVERSITY MONTREAL, QC",100,,7824.3,,
9/10/2024,"ATM CASH ADVANCE-RB/AVANC E FONDS-GAB R, B",101.75,,7724.3,,
9/9/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,7622.55,,
9/9/2024,"SAVE ON FOODS 2227 VICTORIA, BC",119.12,,7581.12,,
9/9/2024,"SHELL C47035 VICTORIA, BC",3.87,,7462,,
9/9/2024,"Subway 14690 Langford, BC",17.36,,7458.13,,
9/9/2024,"Audible CA*ZT1OR6551 Amzn.com/bill, NJ",8.39,,7440.77,,
9/9/2024,"CITY OF VICTORIA PARKI VICTORIA, BC",3,,7432.38,,
9/9/2024,"VANGENNE AND COMPANY LAW VICTORIA, BC",525.5,,7429.38,,
9/9/2024,"SHELL C47030 VICTORIA, BC",171.32,,6903.88,,
9/6/2024,"QUALITY FOODS 4706 VICTORIA, BC",122.86,,6732.56,,
9/6/2024,"CASCADIA LIQUOR LANGFO VICTORIA, BC",47.63,,6609.7,,
9/5/2024,"AMAZON MKTPL*ZT8HT9TR0 Amzn.com/bill, ON",28.43,,6562.07,,
9/5/2024,"AMAZON MKTPL*ZT4V51EO1 Amzn.com/bill, ON",66.7,,6533.64,,
9/5/2024,"AMAZON MKTPL*ZT62U0N60 Amzn.com/bill, ON",35.71,,6466.94,,
9/5/2024,"CREASE HARMAN LLP TR 250-388-5421, BC",560,,6431.23,,
9/5/2024,"WAL-MART SUPERCENTER#3188 LANGFORD, BC",324.2,,5871.23,,
9/4/2024,"AMAZON MKTPL*ZT7UM15I2 Amzn.com/bill, ON",49.65,,5547.03,,
9/4/2024,"APPLE.COM/BILL 866-712-7753, ON",136.62,,5497.38,,
9/4/2024,DIGITAL RIVER IRELAND DIGITALRIVER.,167.94,,5360.76,,
9/4/2024,"MCDONALD'S #40537 VICTORIA, BC",21.61,,5192.82,,
9/3/2024,"AMAZON* RK7U20740 DOWNTOWN TORO, ON",36.99,,5171.21,,
9/3/2024,"AMAZON* ZT0W53EM2 DOWNTOWN TORO, ON",33.67,,5134.22,,
9/3/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,350,5100.55,,
9/3/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,247.48,5450.55,,
9/3/2024,"APPLE.COM/BILL 866-712-7753, ON",14.55,,5698.03,,
9/3/2024,"APPLE.COM/BILL 866-712-7753, ON",12.31,,5683.48,,
9/3/2024,"APPLE.COM/BILL 866-712-7753, ON",39.19,,5671.17,,
9/3/2024,"SHELL C47030 VICTORIA, BC",84.94,,5631.98,,
8/30/2024,"Subway 14690 Langford, BC",25.54,,5547.04,,
8/30/2024,"APPLE.COM/BILL TORONTO, ON",95.19,,5521.5,,
8/28/2024,"APPLE.COM/BILL TORONTO, ON",60.47,,5426.31,,
8/28/2024,"FORBES PHARMACY MILLSTREA VICTORIA, BC",22.12,,5365.84,,
8/28/2024,"BC REGISTRY COLIN INTERNE VICTORIA, BC",21.5,,5343.72,,
8/28/2024,"WESTJET 8384412410470 CALGARY, AB",,204.75,5322.22,,
8/28/2024,"WESTJET 8382190033860 CALGARY, AB",45.15,,5526.97,,
8/27/2024,CASH ADV/BT/CONV CHQ FEE,5,,5481.82,,
8/27/2024,CASHBACK/REMISE EN ARGENT,,241.26,5476.82,,
8/27/2024,CASH ADVANCE/AVANCE DE FO NDS,76.32,,5718.08,,
8/26/2024,CASH ADV/BT/CONV CHQ FEE,5,,5641.76,,
8/26/2024,"APPLE.COM/BILL TORONTO, ON",41.43,,5636.76,,
8/26/2024,"CITY OF VICTORIA PARKI VICTORIA, BC",6,,5595.33,,
8/26/2024,"CITY OF VICTORIA PARKI VICTORIA, BC",4,,5589.33,,
8/26/2024,"SP INTERACTIVITY BOA VICTORIA, BC",184.76,,5585.33,,
8/26/2024,"SHOPPERS DRUG MART #02 VICTORIA, BC",68.83,,5400.57,,
8/26/2024,"BOLEN BOOKS VICTORIA, BC",218,,5331.74,,
8/26/2024,"INTERACTIVITY BOARD GAME VICTORIA, BC",38.13,,5113.74,,
8/26/2024,"BC LIQUOR #082 HILLSIDE VICTORIA, BC",55.63,,5075.61,,
8/26/2024,"SHAW CABLESYSTEMS CALGARY, AB",127.76,,5019.98,,
8/26/2024,"SAVE ON FOODS 2227 VICTORIA, BC",86.83,,4892.22,,
8/26/2024,CASH ADVANCE/AVANCE DE FO NDS,150,,4805.39,,
8/26/2024,"SHELL C47030 VICTORIA, BC",19.07,,4655.39,,
8/23/2024,PAYMENT PROTECTOR PREMIUM 800-893-2862,45.45,,4636.32,,
8/23/2024,"Subway 14690 Langford, BC",11.58,,4590.87,,
8/23/2024,CASH INTEREST,15,,4579.29,,
8/21/2024,"SHELL C47030 VICTORIA, BC",131.85,,4564.29,,
8/21/2024,"WESTJET 8382189815698 CALGARY, AB",1288.97,,4432.44,,
8/20/2024,"ALLIANZ GLOBAL ASSISTANCE CAMBRIDGE, ON",188.75,,3143.47,,
8/20/2024,"APPLE.COM/BILL 866-712-7753, ON",95.19,,2954.72,,
8/20/2024,"SAVE ON FOODS #923 VICTORIA, BC",63.67,,2859.53,,
8/19/2024,"APPLE.COM/BILL 866-712-7753, ON",61.59,,2795.86,,
8/19/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,2734.27,,
8/19/2024,"APPLE.COM/BILL 866-712-7753, ON",60.47,,2692.84,,
8/19/2024,"THE SPIRAL CAFE VICTORIA, BC",5.45,,2632.37,,
8/19/2024,"CROWN PALACE CHINESE REST VICTORIA, BC",43.89,,2626.92,,
8/19/2024,"APPLE.COM/BILL 866-712-7753, ON",85.07,,2583.03,,
8/19/2024,"Subway 14690 Langford, BC",15.6,,2497.96,,
8/19/2024,"Amazon.ca*RU65R8050 AMAZON.CA, ON",89.37,,2482.36,,
8/19/2024,"GFL DUNFORD VICTORIA, BC",19.55,,2392.99,,
8/19/2024,"SAVE ON FOODS 2227 VICTORIA, BC",133.47,,2373.44,,
8/19/2024,"DD/DOORDASHBAANTHAIWOK VANCOUVER, BC",76.12,,2239.97,,
8/19/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,500,2163.85,,
8/19/2024,"SHELL C47030 VICTORIA, BC",112.89,,2663.85,,
8/16/2024,"APPLE.COM/BILL TORONTO, ON",66.62,,2550.96,,
8/15/2024,"APPLE.COM/BILL 866-712-7753, ON",4.47,,2484.34,,
8/15/2024,"Subway 14690 Langford, BC",15.6,,2479.87,,
8/13/2024,CASH ADV/BT/CONV CHQ FEE,5,,2464.27,,
8/13/2024,CASH ADV/BT/CONV CHQ FEE,5,,2459.27,,
8/13/2024,CASHBACK/REMISE EN ARGENT,,130.56,2454.27,,
8/13/2024,CASH ADVANCE/AVANCE DE FO NDS,800,,2584.83,,
8/13/2024,CASH ADVANCE/AVANCE DE FO NDS,850,,1784.83,,
8/12/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,934.83,,
8/12/2024,"APPLE.COM/BILL 866-712-7753, ON",72.77,,893.4,,
8/12/2024,"STARBUCKS 04234 VICTORIA, BC",6.46,,820.63,,
8/9/2024,"R PARKING VIC VICTORIA, BC",7.5,,814.17,,
8/9/2024,"SOL FINE FOODS VICTORIA, BC",12.69,,806.67,,
8/9/2024,"SHELL C47030 VICTORIA, BC",87.89,,793.98,,
8/8/2024,"Subway 14690 Langford, BC",17.36,,706.09,,
8/8/2024,"R PARKING VIC VICTORIA, BC",7.5,,688.73,,
8/8/2024,"APPLE.COM/BILL 866-712-7753, ON",60.47,,681.23,,
8/8/2024,"CARAVANA CAFE VICTORIA, BC",23.34,,620.76,,
8/8/2024,"CARAVANA CAFE VICTORIA, BC",6.25,,597.42,,
8/7/2024,"APPLE.COM/BILL 866-712-7753, ON",49.79,,591.17,,
8/7/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,406.77,541.38,,
8/6/2024,"APPLE.COM/BILL 866-712-7753, ON",66.62,,948.15,,
